treat,Female,HOMEPOS,ESCS
0,0,0.500140269,-0.560040101
0,0,0.866216519,0.195447511
0,1,1.330571033,1.47435837
0,1,-0.41520456,0.186194157
0,1,0.10733562,0.338143962
0,0,2.396211699,1.661495269
1,0,-0.068454997,-0.915807193
1,1,0.976316959,0.872403373
1,0,0.338844667,-0.05926322
1,0,0.66811797,0.88409182
1,1,-0.199938154,0.279823484
1,1,-0.684338967,-0.605211077
1,0,0.651052916,0.247680256
0,1,-1.269485279,-2.404501316
0,1,-0.702740441,-0.115148605
0,0,-1.127413563,-1.25915531
0,1,-0.655862943,-1.038048863
0,1,0.013066617,0.498373084
0,1,1.179658386,1.408732613
0,1,0.328667316,0.761484886
0,1,0.967064821,1.014247542
0,0,-0.69595554,-0.640519926
0,0,0.673874856,-0.069368856
0,1,-0.378196009,0.006119028
0,0,0.144755378,0.832467847
0,0,-0.001082725,-0.006924403
0,1,0.249510137,-0.254070662
0,1,-0.786420887,-0.045870208
0,1,-1.393052719,-2.584089427
0,0,-1.91836854,-1.864397682
0,1,-0.690918265,-1.682252724
0,1,-0.349719985,0.385628276
0,0,0.311807865,-0.893647846
0,0,1.062875847,0.77913931
0,0,0.438767755,0.985513444
0,0,-0.018390651,-1.064104358
