"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","pscore"
576.065,2,1,2,5,4,6,6,2.5915,0.3977,0.9769,0,0.121482653415176
414.113,2,1,2,2,3,6,6,0.1313,0.0477,0.6209,0,0.0616822008913218
450.785,2,1,2,3,3,4,4,-0.3381,0.0618,-0.0681,0,0.0280892995810221
360.651,2,1,2,1,3,2,6,-0.3381,-1.7314,-0.4462,0,0.00861821207532225
529.424,1,1,2,3,4,4,6,1.0269,1.3887,1.5477,0,0.105974823248234
621.628,1,1,2,4,4,6,6,0.5901,1.5004,1.3614,0,0.119606069196847
473.93,1,1,2,3,3,2,6,-0.5064,0.7865,0.2932,0,0.0218661860857963
461.344,1,1,1,3,3,5,5,-0.1613,0.5083,0.4844,0,0.0659161364531993
221.847,1,1,2,1,4,2,4,-0.3873,-1.1039,-1.0958,0,0.00657651698461842
537.757,1,1,2,2,4,6,6,-0.0621,0.7589,0.9856,0,0.0769228963721777
471.453,1,1,2,3,3,2,2,-0.3381,-0.4977,-1.3007,0,0.0157006071669711
373.779,1,1,2,2,4,5,5,0.6642,-1.0954,0.1223,0,0.037682830279724
470.544,1,1,1,3,1,4,4,-1.2663,0.5716,0.3052,0,0.0368440820732974
393.977,1,1,2,3,3,4,4,-0.2687,0.8323,-0.0329,0,0.0286920342411502
613.17,1,1,2,4,4,5,6,2.5915,0.2377,0.7528,0,0.0783534877463016
526.651,1,1,2,4,3,5,5,-0.3381,0.6307,0.2194,0,0.0461898079251101
426.618,1,1,2,1,3,4,4,-0.4725,-0.5793,-0.7377,0,0.0115662383781035
400.763,1,1,2,2,3,6,6,-0.604,0.1186,0.0388,0,0.0325262135696233
580.073,1,1,2,2,3,4,4,-0.3725,-0.5197,-0.2405,0,0.0199476923172228
421.201,1,1,2,2,3,5,5,0.7333,0.6177,-0.2399,0,0.0295441964999281
438.816,1,1,2,6,2,4,4,-1.5827,0.2026,-0.7603,0,0.041992157908402
523.6,1,1,1,3,4,5,6,0.2638,0.6256,1.1433,0,0.125332529720455
514.355,1,1,1,5,4,2,5,0.9357,1.4103,1.0639,0,0.0738046726421074
515.324,1,1,2,5,3,4,4,-0.3381,1.6547,0.5173,0,0.0461601974414293
477.149,1,1,1,2,2,5,5,-0.6981,0.1865,-0.1711,0,0.0329159275052366
392.395,2,1,1,4,3,6,6,0.1313,1.5177,1.2232,0,0.135014959654942
